query001,Crosswalk
query002,Bicycle
query003,Bicycle
query004,Chimney
query005,Bus
query006,Crosswalk
query007,Bus
query008,Bus
query009,Palm
query010,Traffic Light
query011,Bus
query012,Chimney
query013,Bicycle
query014,Bridge
query015,Palm
query016,Bus
query017,Bicycle
query018,Bus
query019,Bicycle
query020,Chimney
query021,Bicycle
query022,Bicycle
query023,Palm
query024,Traffic Light
query025,Palm
query026,Chimney
query027,Crosswalk
query028,Hydrant
query029,Crosswalk
query030,Car
query031,Car
query032,Bicycle
query033,Palm
query034,Bicycle
query035,Bridge
query036,Hydrant
query037,Palm
query038,Bus
query039,Hydrant
query040,Bicycle
query041,Traffic Light
query042,Bicycle
query043,Palm
query044,Motorcycle
query045,Palm
query046,Car
query047,Bicycle
query048,Bridge
query049,Car
query050,Traffic Light
query051,Crosswalk
query052,Bicycle
query053,Traffic Light
query054,Bridge
query055,Motorcycle
query056,Crosswalk
query057,Bicycle
query058,Palm
query059,Hydrant
query060,Bicycle
query061,Traffic Light
query062,Hydrant
query063,Car
query064,Bridge
query065,Car
query066,Palm
query067,Bicycle
query068,Bus
query069,Bus
query070,Crosswalk
query071,Traffic Light
query072,Crosswalk
query073,Crosswalk
query074,Bridge
query075,Traffic Light
query076,Bicycle
query077,Crosswalk
query078,Hydrant
query079,Hydrant
query080,Chimney
query081,Traffic Light
query082,Traffic Light
query083,Bridge
query084,Car
query085,Hydrant
query086,Car
query087,Chimney
query088,Palm
query089,Hydrant
query090,Bridge
query091,Crosswalk
query092,Bus
query093,Bus
query094,Hydrant
query095,Bicycle
query096,Bridge
query097,Bicycle
query098,Traffic Light
query099,Car
query100,Crosswalk
